brand,model,screen_size,cpu,ram,OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,price,harddisk_numeric
msi,vector gp66 12ugs-267,15.66,i9,32.0,windows 11 home,,dedicated,,1.8,5.0,1599.0,512.0
acer,a315-24p-r7vh,15.6,Ryzen 3,8.0,windows 11 s,backlit keyboard,integrated,,,4.5,299.99,128.0
acer,cb315-3ht,15.6,Celeron,4.0,chrome os,support stylus,integrated,,,4.4,239.99,64.0
asus,rog strix g16,16.0,i7,16.0,windows 11 home,backlit keyboard,dedicated,,,4.4,1274.03,512.0
acer,a515-56-347n,15.6,i3,8.0,windows 11 s,amazon alexa,integrated,,,4.3,299.99,128.0
acer,an515-58-57y8,15.6,i5,16.0,windows 11 home,backlit keyboard,dedicated,,,4.4,814.77,512.0
hp,notebook,14.0,Ryzen 3,16.0,windows 11,anti glare coating,integrated,,,4.4,379.99,1024.0
rokc,ideapad 3,15.6,i5,20.0,windows 11,,integrated,intel,,,639.99,1000.0
acer,nitro 17,17.3,Ryzen 7,16.0,windows 11 home,"backlit keyboard, memory card slot",dedicated,,,4.4,1199.99,1024.0
hp,hp laptop,15.6,i3,16.0,windows 11 home,anti-glare,integrated,intel uhd graphics,,4.2,473.0,1024.0
asus,fx506hf-es51,15.6,i5,8.0,windows 11 home,backlit keyboard,dedicated,,,4.5,699.99,512.0
msi,thin gf63 12ve-066us,15.6,i7,16.0,windows 11 home,anti glare coating,rtx 4050,,,4.5,938.0,512.0
lenovo,ideapad 3 81x800enus,15.6,i3,20.0,windows 11,backlit keyboard,integrated,,,4.3,419.0,256.0
lenovo,ideapad gaming 3,15.6,Ryzen 5,8.0,windows 11 home,anti glare coating,dedicated,,,4.3,801.96,256.0
asus,rog strix g16,16.0,i9,16.0,windows 11 home,anti glare coating,dedicated,,,4.5,1799.99,1024.0
hp,chromebook 14a-na0226nr,14.0,Celeron,4.0,chrome os,anti-glare,integrated,,,4.4,249.0,64.0
hp,tpn-i139_320m3av,17.3,i3,32.0,windows 11 home,hd audio,integrated,,,4.6,510.0,1024.0
hp,i5 12th gen 15-dy5399nr,15.6,i5,16.0,windows 11 home,micro-edge bezel,integrated,,,4.3,527.15,512.0
asus,rog strix g16,16.0,i9,32.0,windows 11 pro,,dedicated,nvidia geforce rtx 4070,5.6,4.3,2199.0,1024.0
msi,stealth gs66 12ugs-025,15.6,i9,32.0,windows 11 home,,dedicated,nvidia geforce rtx 3070,1.8,1.0,1699.0,512.0
dell,inspiron,16.0,i5,32.0,windows 11,,integrated,intel,,,899.99,1000.0
msi,vector gp66 12ugs-267,15.66,i9,32.0,windows 11 home,,dedicated,,1.8,5.0,1599.0,1024.0
lenovo,ideapad,14.0,i3,20.0,windows 11 home,dolby,integrated,,,4.3,359.0,1024.0
hp,hp chromebook,14.0,Celeron,4.0,chrome os,,integrated,intel uhd graphics 600,,3.8,209.99,64.0
lenovo,ideapad 3i,15.6,i5,8.0,windows 11 pro,anti glare coating,integrated,,,4.5,637.35,512.0
